tanggal,t2m_c,u10,v10,msl,tp_mm
2025-01-01,26.9968,1.3421,-1.3615,100849.65,2.1382
2025-01-02,27.2831,0.4591,0.0918,100950.945,0.1262
2025-01-03,27.2544,0.939,0.8518,100971.055,0.1834
2025-01-04,26.4518,2.4341,1.7787,101003.96,2.8653
2025-01-05,25.896,2.3082,0.9609,100982.18,1.5846
2025-01-06,26.2434,1.4627,0.801,100944.766,1.88
2025-01-07,26.5732,2.2722,-0.0537,100915.02,2.9796
2025-01-08,27.1641,1.0269,-0.5093,100877.164,0.8186
2025-01-09,27.1944,0.6731,-0.8496,101010.6,2.0434
2025-01-10,27.2119,0.6898,-0.3843,101125.9,1.2518
2025-01-11,27.1405,2.0511,0.4173,101067.586,2.0221
2025-01-12,26.4681,4.3818,0.8299,100995.38,6.0426
2025-01-13,27.5183,3.2141,0.3966,100856.38,0.8578
2025-01-14,26.6289,3.2765,0.3038,101033.81,6.9985
2025-01-15,27.5937,2.9984,0.2906,100922.23,0.4659
2025-01-16,27.7819,3.8005,0.0294,100843.19,0.9476
2025-01-17,27.4109,3.5149,-0.3811,100715.87,3.2547
2025-01-18,27.215,4.4406,-0.4528,100743.67,2.9937
2025-01-19,27.2554,5.2577,0.387,100649.04,5.5428
2025-01-20,26.6103,1.8068,-1.1962,100740.13,9.3348
2025-01-21,26.9488,1.7703,-0.9504,100836.56,2.5293
2025-01-22,27.0428,1.2873,-0.9594,100888.26,0.4075
2025-01-23,26.7809,1.7085,-0.2024,100901.56,1.1988
2025-01-24,26.5421,1.6315,0.2046,100845.73,1.0226
2025-01-25,26.7919,1.7063,0.3632,100863.47,1.7218
2025-01-26,26.4353,2.4348,1.0871,100772.34,2.6538
2025-01-27,26.3537,3.3462,0.0345,100810.02,7.7491
2025-01-28,27.341,1.7164,-1.2019,100893.51,0.3803
2025-01-29,26.7742,1.121,-1.7762,100916.97,1.1952
2025-01-30,26.7697,1.2044,-3.6349,100780.78,0.1787
2025-01-31,28.0105,1.4643,-2.4655,100656.24,0.0022
2025-02-01,28.0842,0.9091,-3.1029,100598.1,0.005
2025-02-02,28.1893,0.9542,-2.7819,100600.35,0.0108
2025-02-03,28.3492,2.9092,-0.7872,100760.39,0.0128
2025-02-04,28.7118,3.8017,-2.435,100632.836,0.0037
2025-02-05,28.2483,2.1536,-1.7587,100524.92,0.2069
2025-02-06,27.7631,0.6476,-3.2539,100633.62,0.2627
2025-02-07,28.0461,0.9249,-1.7943,100830.52,0.164
2025-02-08,27.7534,1.5317,-0.7097,100843.65,0.0267
2025-02-09,27.6098,1.8677,0.2265,100891.625,0.2004
2025-02-10,27.6104,2.4007,0.9263,100972.61,0.2784
2025-02-11,27.9413,2.3488,0.9325,101099.445,0.0246
2025-02-12,27.6132,3.1912,1.2876,101155.69,0.3637
2025-02-13,26.4626,3.1425,0.9689,101067.73,1.5477
2025-02-14,26.737,2.4536,-0.1467,100919.45,3.1272
2025-02-15,26.977,2.3774,0.4379,100896.51,3.2771
2025-02-16,26.5296,1.9432,0.3557,101004.33,5.4589
2025-02-17,26.1467,3.021,0.4094,101121.81,5.0124
2025-02-18,26.7357,1.789,0.0718,101028.375,11.5853
2025-02-19,26.7679,0.7627,-0.4639,101052.07,2.3145
2025-02-20,27.126,0.8324,0.0856,101074.13,0.2968
2025-02-21,26.9874,1.8131,-0.3678,101065.266,2.9093
2025-02-22,27.1955,2.6567,-0.4742,101023.375,2.0182
2025-02-23,27.576,0.5584,-1.2232,101168.63,0.3891
2025-02-24,26.4796,-1.2125,-0.1407,101261.34,2.9879
2025-02-25,26.9452,0.2964,-0.2578,101288.375,1.287
2025-02-26,26.4383,1.0442,-0.309,101240.09,1.3901
2025-02-27,26.6099,0.1346,-0.044,101099.98,1.682
2025-02-28,26.6019,0.4422,0.0034,101116.34,2.2795
2025-03-01,27.6538,-2.0865,0.7169,100948.766,0.1669
2025-03-02,27.839,-2.1602,0.5636,100808.62,1.2674
2025-03-03,26.8728,-0.9566,0.0685,100853.05,1.3524
