tanggal,t2m_c,u10,v10,tp_mm
2021-01-01,25.4857,1.7656,0.5522,15.559
2021-01-02,25.5121,1.0466,-0.1926,3.9308
2021-01-03,25.7391,1.8457,0.4855,13.9696
2021-01-04,25.3434,1.6923,0.5934,36.423
2021-01-05,25.4194,0.6286,-0.0863,47.4325
2021-01-06,25.4481,0.7542,0.0203,32.0691
2021-01-07,25.1749,0.5487,-0.2362,34.5455
2021-01-08,26.03,1.0557,-0.3762,13.6091
2021-01-09,25.4286,1.7689,0.4547,56.6829
2021-01-10,25.8481,2.2241,0.4259,41.4038
2021-01-11,25.6748,1.9579,-0.049,23.9103
2021-01-12,25.0705,2.2573,0.2062,40.9712
2021-01-13,24.8591,1.8376,-0.4437,28.7125
2021-01-14,24.9273,0.6744,-0.0013,13.5191
2021-01-15,25.2914,1.0468,-0.2645,5.8332
2021-01-16,26.0079,1.8388,0.5994,2.021
2021-01-17,25.2171,1.6041,-0.5038,14.439
2021-01-18,24.2867,2.5489,-0.8312,37.3576
2021-01-19,24.7362,1.4673,-0.6422,33.0418
2021-01-20,25.2884,0.9818,-0.9575,23.4142
2021-01-21,25.5475,0.9628,-0.8707,28.6
2021-01-22,25.9684,0.6644,-0.5697,11.9855
2021-01-23,25.4222,0.0463,-0.8157,10.6798
2021-01-24,24.9806,-0.0651,-0.5379,15.7782
2021-01-25,24.9822,0.4201,-0.0535,29.6313
2021-01-26,24.9507,2.0063,0.6377,43.6476
2021-01-27,24.2361,2.1255,0.4298,69.0454
2021-01-28,24.0036,2.3458,0.6109,64.2423
2021-01-29,24.1989,2.0932,-0.1792,32.5797
2021-01-30,24.0103,1.4332,-0.213,42.156
2021-01-31,24.7667,1.2626,-0.1095,29.0184
2021-02-01,25.4235,1.6096,-0.7747,11.8283
2021-02-02,25.5703,1.961,-1.6464,15.4054
2021-02-03,24.3257,1.9692,-0.3628,39.8723
2021-02-04,25.2646,1.9741,-1.2395,28.2246
2021-02-05,25.2101,1.9767,-1.5275,20.9323
2021-02-06,25.8712,1.3701,-1.2836,15.5572
2021-02-07,25.4411,1.8648,-1.458,55.0688
2021-02-08,25.1903,1.7169,-0.9857,83.8523
2021-02-09,25.785,1.9975,-0.3273,41.6813
2021-02-10,25.0132,2.3019,-0.002,51.1693
2021-02-11,26.0937,2.2744,-0.122,24.3666
2021-02-12,24.6521,1.3914,-0.6088,12.5597
2021-02-13,25.6346,0.8578,-0.9253,13.8301
2021-02-14,24.7173,0.924,-0.0933,20.1323
2021-02-15,25.0583,0.5371,-0.3665,14.0889
2021-02-16,24.7551,1.1274,-0.5032,32.2886
2021-02-17,25.2152,1.5204,-0.1799,35.5139
2021-02-18,24.3178,1.9414,-0.4186,57.9959
2021-02-19,24.3541,1.471,-0.842,51.2225
2021-02-20,24.4227,0.4141,-0.7425,65.2542
2021-02-21,25.6268,0.4421,-0.618,28.2296
2021-02-22,25.6982,1.0356,-0.4177,9.9421
2021-02-23,26.3863,2.2598,-0.0831,15.3707
2021-02-24,24.6107,2.8867,0.6801,39.1177
2021-02-25,24.6031,1.6152,-0.7545,79.9164
2021-02-26,24.843,0.7088,-0.4294,60.9275
