tanggal,t2m_c,u10,v10,tp_mm
2021-01-01,27.1826,1.8992,0.0303,8.4486
2021-01-02,26.6717,2.3289,-0.7548,8.2271
2021-01-03,26.8518,2.4168,-1.1054,8.4736
2021-01-04,26.9042,2.525,-2.1334,5.2045
2021-01-05,26.6787,2.4378,-1.5636,9.3386
2021-01-06,25.2507,1.9129,-1.0756,37.2774
2021-01-07,26.3144,0.5483,0.2955,26.6133
2021-01-08,26.514,-0.4311,0.3059,30.1606
2021-01-09,25.6243,-0.2414,-0.2698,54.5493
2021-01-10,25.9506,0.532,-1.122,53.6759
2021-01-11,26.5186,0.8826,-0.8648,48.3584
2021-01-12,26.9936,1.1259,-0.0423,16.9116
2021-01-13,27.2673,0.9633,-0.3083,7.1097
2021-01-14,26.8157,1.2571,-0.0127,20.0313
2021-01-15,26.1271,1.4488,-1.0563,30.3504
2021-01-16,25.8253,1.4038,-0.5475,64.7862
2021-01-17,26.509,1.7827,-0.7031,29.2857
2021-01-18,26.2949,1.7178,-0.0555,7.4049
2021-01-19,25.7159,0.7386,0.9986,40.4197
2021-01-20,26.0201,2.7055,-2.8065,36.3372
2021-01-21,26.5172,1.0026,-3.3181,29.3309
2021-01-22,26.5271,1.5161,-3.6867,17.2154
2021-01-23,26.0535,2.0559,-2.7069,9.3613
2021-01-24,25.3122,2.5385,-1.5198,35.9023
2021-01-25,24.906,2.6801,-1.9417,62.7157
2021-01-26,25.3412,3.2234,-1.8681,20.7597
2021-01-27,25.3214,3.6378,-2.498,12.8231
2021-01-28,25.3358,4.3965,-3.0851,24.8088
2021-01-29,25.3445,3.669,-2.8624,29.2495
2021-01-30,25.4945,3.47,-3.2557,34.9399
2021-01-31,24.9903,4.675,-2.4342,54.7954
2021-02-01,25.5749,3.9542,-1.9188,32.6385
2021-02-02,25.1833,3.1131,-1.8669,22.2718
2021-02-03,24.3421,3.364,-2.0334,65.9896
2021-02-04,23.4489,2.9239,-2.1111,139.8927
2021-02-05,25.9153,2.8677,-2.2325,59.9709
2021-02-06,25.0788,3.1882,-1.5524,32.0575
2021-02-07,25.6851,3.0608,-0.8316,18.7089
2021-02-08,25.4616,3.2437,0.0167,46.1322
2021-02-09,26.1445,3.4293,-1.1544,26.1323
2021-02-10,25.8913,2.2878,-1.8052,19.2495
2021-02-11,26.8263,2.0446,-1.4452,8.0492
2021-02-12,26.3051,1.791,-0.9555,24.2683
2021-02-13,25.8647,2.6056,-0.261,19.5061
2021-02-14,25.11,2.6815,0.0307,17.977
2021-02-15,25.4081,2.9873,-0.5844,14.1583
2021-02-16,25.8189,2.863,-0.6966,12.9908
2021-02-17,25.9475,3.0995,-0.1851,12.6426
2021-02-18,24.9922,2.5431,-0.7429,32.3153
