tanggal,seas,anom,total
1950-01-01,DJF,-1.32,25.01
1950-03-01,JFM,-1.2,25.36
1950-05-01,FMA,-1.12,25.88
1950-07-01,MAM,-1.08,26.24
1950-09-01,AMJ,-1.1,26.35
1950-11-01,MJJ,-0.9,26.32
1951-01-01,JJA,-0.62,26.24
1951-01-01,DJF,-0.66,25.67
1951-03-01,JAS,-0.57,25.94
1951-03-01,JFM,-0.36,26.2
1951-05-01,ASO,-0.56,25.76
1951-05-01,FMA,-0.04,26.96
1951-07-01,SON,-0.62,25.6
1951-07-01,MAM,0.16,27.48
1951-09-01,OND,-0.66,25.55
1951-09-01,AMJ,0.27,27.72
1951-11-01,MJJ,0.5,27.72
1951-11-01,NDJ,-0.79,25.41
1952-01-01,JJA,0.71,27.57
1952-01-01,DJF,0.52,26.86
1952-03-01,JFM,0.27,26.82
1952-03-01,JAS,0.9,27.41
1952-05-01,ASO,1.02,27.34
1952-05-01,FMA,0.33,27.33
1952-07-01,SON,1.03,27.25
1952-07-01,MAM,0.18,27.5
1952-09-01,OND,0.96,27.18
1952-09-01,AMJ,-0.07,27.38
1952-11-01,NDJ,0.71,26.91
1952-11-01,MJJ,-0.44,26.78
1953-01-01,DJF,0.25,26.58
1953-01-01,JJA,-0.45,26.41
1953-03-01,JAS,-0.2,26.31
1953-03-01,JFM,0.5,27.06
1953-05-01,FMA,0.48,27.48
1953-05-01,ASO,0.03,26.35
1953-07-01,SON,0.04,26.26
1953-07-01,MAM,0.56,27.88
1953-09-01,OND,-0.11,26.11
1953-09-01,AMJ,0.77,28.22
1953-11-01,NDJ,0.06,26.25
1953-11-01,MJJ,0.74,27.96
1954-01-01,JJA,0.63,27.49
1954-01-01,DJF,0.41,26.74
1954-03-01,JAS,0.68,27.19
1954-03-01,JFM,0.35,26.91
1954-05-01,FMA,0.01,27.01
1954-05-01,ASO,0.59,26.91
1954-07-01,SON,0.78,27.0
1954-07-01,MAM,-0.27,27.04
1954-09-01,AMJ,-0.48,26.97
1954-09-01,OND,0.52,26.74
1954-11-01,NDJ,0.56,26.76
1954-11-01,MJJ,-0.48,26.74
1955-01-01,JJA,-0.67,26.18
1955-01-01,DJF,-0.5,25.83
1955-03-01,JFM,-0.48,26.08
1955-03-01,JAS,-0.83,25.68
1955-05-01,ASO,-0.73,25.58
1955-05-01,FMA,-0.58,26.42
1955-07-01,MAM,-0.76,26.56
1955-07-01,SON,-0.52,25.7
1955-09-01,OND,-0.4,25.82
1955-09-01,AMJ,-0.78,26.67
1955-11-01,MJJ,-0.88,26.34
1955-11-01,NDJ,-0.44,25.76
1956-01-01,JJA,-0.72,26.13
1956-01-01,DJF,-1.17,25.2
1956-03-01,JAS,-0.92,25.59
1956-03-01,JFM,-0.81,25.82
1956-05-01,FMA,-0.57,26.47
1956-05-01,ASO,-1.11,25.21
1956-07-01,SON,-1.44,24.78
1956-07-01,MAM,-0.51,26.84
1956-09-01,AMJ,-0.49,27.0
1956-09-01,OND,-1.59,24.63
1956-11-01,NDJ,-1.51,24.73
1956-11-01,MJJ,-0.47,26.81
1957-01-01,JJA,-0.55,26.37
1957-01-01,DJF,-0.27,26.11
1957-03-01,JFM,-0.06,26.57
1957-03-01,JAS,-0.52,26.02
1957-05-01,FMA,0.26,27.3
1957-05-01,ASO,-0.43,25.9
1957-07-01,SON,-0.39,25.85
1957-07-01,MAM,0.63,27.99
1957-09-01,OND,-0.37,25.87
1957-09-01,AMJ,0.72,28.21
1957-11-01,MJJ,0.82,28.09
1957-11-01,NDJ,-0.39,25.87
1958-01-01,JJA,0.96,27.88
1958-01-01,DJF,1.69,28.07
1958-03-01,JFM,1.59,28.21
1958-03-01,JAS,1.03,27.57
1958-05-01,FMA,1.17,28.21
1958-05-01,ASO,1.12,27.45
1958-07-01,SON,1.15,27.38
